COUNTRY_CODE,COUNTRY_NAME,COUNTRY_NAME_ES,GAP,HDI,RANKING,POINTS,CONFEDERATION,GAP2
ALB,Albania,Albania,0.734,0.621,77,1325,UEFA,0.266
ARE,United Arab Emirates,Emiratos Árabes Unidos,0.642,0.659,98,1212,AFC,0.358
ARG,Argentina,Argentina,0.733,0.611,37,1626,CONMEBOL,0.267
AUS,Australia,Australia,0.73,0.803,6,2003,AFC,0.27
AUT,Austria,Austria,0.718,0.793,23,1798,UEFA,0.282
BEL,Belgium,Bélgica,0.738,0.757,20,1812,UEFA,0.262
BFA,Burkina Faso,Burkina Faso,0.629,0.369,122,1062,CAF,0.371
BGD,Bangladesh,Bangladesh,0.721,0.479,127,1008,AFC,0.279
BGR,Bulgaria,Bulgaria,0.756,0.676,78,1316,UEFA,0.244
BHR,Bahrain,Bahrein,0.627,0.668,82,1274,AFC,0.373
BIH,Bosnia and Herzegovina,Bosnia y Herzegovina,0.712,0.618,68,1374,UEFA,0.288
BRA,Brazil,Brasil,0.681,0.56,10,1944,CONMEBOL,0.319
BWA,Botswana,Botsuana,0.715,0.424,151,755,CAF,0.285
CAN,Canada,Canadá,0.771,0.799,5,2006,CONCACAF,0.229
CHE,Switzerland,Suiza,0.755,0.767,18,1828,UEFA,0.245
CHL,Chile,Chile,0.717,0.674,39,1589,CONMEBOL,0.283
CHN,China,China,0.673,0.673,16,1866,AFC,0.327
CIV,Cote d'Ivoire,Costa de Marfil,0.627,0.353,69,1363,CAF,0.373
CMR,Cameroon,Camerún,0.714,0.394,46,1499,CAF,0.286
COD,"Congo, Dem. Rep.","Congo, Dem. Reps.",0.582,0.369,100,1196,CAF,0.418
COL,Colombia,Colombia,0.729,0.593,26,1700,CONMEBOL,0.271
CRI,Costa Rica,Costa Rica,0.749,0.619,36,1630,CONCACAF,0.251
CYP,Cyprus,Chipre,0.684,0.751,115,1123,UEFA,0.316
CZE,Czech Republic,Republica checa,0.693,0.782,29,1669,UEFA,0.307
